1,73
1,10
1,43
1,6
2,22
3,21
4,15
4,97
5,56
5,25
5,76
6,67
6,45
6,29
7,93
7,89
8,68
8,85
8,53
8,63
9,59
9,41
9,55
9,78
9,87
9,25
10,19
11,71
11,56
12,19
13,57
13,47
13,93
13,87
14,92
14,88
15,25
16,52
16,22
17,46
17,25
18,19
18,29
19,83
21,43
21,86
21,91
22,79
23,40
23,37
25,30
26,83
28,50
28,70
29,80
29,43
30,98
30,45
30,59
32,66
32,70
32,47
33,35
33,77
34,49
34,58
36,72
36,78
36,95
37,79
37,80
37,82
38,41
38,86
40,77
40,50
40,60
40,62
41,70
41,82
42,76
42,69
42,44
43,73
43,49
44,76
44,58
44,61
46,96
46,99
46,81
46,72
47,65
47,61
48,83
48,91
49,64
50,85
51,53
54,67
55,64
55,66
55,59
55,61
56,79
56,90
57,96
57,90
57,62
58,74
59,74
59,73
61,91
62,84
63,68
64,83
64,68
64,79
65,72
65,91
66,68
66,76
66,95
70,92
72,89
72,95
75,99
75,77
76,77
77,78
77,80
79,98
82,96
84,93
88,94
93,97
97,99
