2,61
3,95
4,65
4,71
4,77
5,59
5,44
6,71
6,19
6,56
6,63
7,73
7,50
7,99
8,48
8,91
9,32
9,76
9,17
9,50
9,27
10,71
10,83
10,73
11,67
11,14
11,55
11,26
12,23
12,30
12,55
13,76
14,96
14,65
15,27
15,62
16,98
16,84
17,67
17,19
18,39
18,50
18,21
19,64
19,51
19,81
20,86
21,98
21,74
22,89
22,51
23,65
23,38
24,56
25,40
25,95
26,58
26,69
26,31
27,82
27,90
29,64
30,64
30,73
30,88
31,58
32,43
32,62
33,68
33,70
33,54
33,93
34,35
35,49
36,99
37,76
37,95
38,80
40,43
41,72
41,84
42,89
42,47
43,65
44,100
45,75
45,69
46,49
47,80
47,84
48,75
49,59
50,86
53,55
54,94
55,92
57,67
58,83
58,84
61,62
63,66
64,78
65,73
66,97
66,100
67,71
70,73
70,95
71,96
72,87
74,93
76,88
76,93
77,90
77,92
78,87
85,88
85,100
88,89
