1,73
1,10
1,43
2,61
2,22
3,21
3,95
4,15
4,65
4,71
5,56
5,25
5,76
5,44
6,71
6,45
6,63
8,68
8,48
9,32
9,50
10,19
11,67
11,26
12,23
12,19
12,55
13,47
13,93
13,87
14,96
14,88
15,27
15,62
16,52
16,98
16,22
17,67
17,46
18,39
18,50
18,29
19,64
19,51
19,83
21,98
21,43
21,86
22,51
22,79
23,65
25,40
26,83
27,90
30,64
30,45
30,88
30,59
32,43
33,35
33,68
33,93
34,58
36,99
37,76
37,79
37,82
40,43
40,62
41,82
42,76
43,73
43,49
44,76
44,58
45,75
45,69
46,96
46,99
46,49
46,72
47,65
47,80
47,61
48,83
49,64
50,85
51,53
55,64
55,92
56,79
57,96
57,90
57,67
57,62
58,84
59,74
61,91
61,62
64,83
64,68
64,78
65,72
66,100
66,95
70,73
71,96
72,95
74,93
75,99
75,77
76,77
77,90
78,87
79,98
82,96
84,93
85,88
88,94
93,97
97,99
